List,Name,Description
To Do,Project setup: clone repo & install,"Run npm install. Copy .env.example → .env.local. Point frontend to your API URL."
To Do,Backend: MongoDB + run API,"Set MONGODB_URI in backend learn/.env. Run npm run backend. Check GET / returns OK."
To Do,Auth: sign up & registration API wired,"signup page → backend register / OTP send. Student check: new user row in DB."
To Do,Auth: verify OTP page,"verify-otp flow works; user marked verified; redirects toward profile-setup."
To Do,Auth: profile setup after verify,"profile-setup saves name/photo; redirects to app (dashboard or home)."
To Do,Auth: login + JWT on requests,"Login stores token; protected pages call API with Authorization header (see socketAuth / api utils)."
To Do,Auth: forgot + reset password,"forgot-password → email/OTP → reset-password → can login again."
To Do,App shell: navigation + routing,"All main routes load without error: home dashboard profile circles chat notifications."
To Do,Dashboard: feed loads,"dashboard shows posts/suggestions from API; loading and empty states OK."
To Do,Profile: own profile + edit,"profile page: view/edit; photo upload if implemented."
To Do,Profile: other user profile,"profile/[id] loads; respects privacy if any."
To Do,Circles: browse & open circle,"circles list + circle/[id] page: details posts events load."
To Do,Circles: create join leave,"Create circle; join public; request private; leave — API + UI match."
To Do,Posts: create edit delete in circle,"createPost flow; edit/delete own post; media if in scope."
To Do,Posts: like & comment,"toggleLike + addComment from circle/post UI; counts update."
To Do,Post detail page,"post/[id] shows full post; deep link from feed/chat works."
To Do,Report post flow,"ReportPostModal submits to /posts/report; toast/error handling OK."
To Do,Circle admin: manage page,"circle/[id]/manage: tabs work (requests members posts flagged reports…); mobile usable."
To Do,Circle admin: moderation page,"moderation page loads; actions match backend rules."
To Do,Notifications,"notifications page + bell: list unread; mark read; mobile opens full page not broken dropdown."
To Do,Chat: rooms & messages,"chat page lists rooms; send text/media per app; errors handled."
To Do,Realtime: Socket.IO auth,"Socket connects after login; tab/ref-count or presence behaves as designed."
To Do,Events,"events page + circle events: list/create/reserve per your API."
To Do,Admin panel (core),"admin home; users list search; at least one moderation action tested end-to-end."
To Do,Admin: content views,"admin posts / comments / circles / flagged / reports / analytics — open each; fix broken links."
To Do,Errors & toasts,"API failures show user-friendly message (errorHandler / sanitize) not raw stack traces."
To Do,Responsive pass,"Dashboard circle manage notifications: usable on phone width (scroll not trapped)."
To Do,Deploy or demo build,"Build passes (npm run build). Optional: deploy frontend + host backend; update env URLs."
To Do,README: how to run,"Short steps: install env vars run backend run frontend — for supervisor/demo."
